=== DL-SBL  sigma=5 ===
EM   1/500 | recon MSE 295.5568 | rel_change 1.588e+00
EM 121/500 | recon MSE 147.6446 | rel_change 1.051e-02
EM 131/500 | recon MSE 143.0843 | rel_change 9.212e-03
EM 141/500 | recon MSE 139.0588 | rel_change 9.830e-03
EM 151/500 | recon MSE 135.3978 | rel_change 7.751e-03
EM 161/500 | recon MSE 132.1242 | rel_change 7.151e-03
EM 171/500 | recon MSE 129.0715 | rel_change 6.659e-03
EM 181/500 | recon MSE 126.3309 | rel_change 6.343e-03
EM 191/500 | recon MSE 123.7891 | rel_change 5.677e-03
EM 201/500 | recon MSE 121.4357 | rel_change 6.701e-03
EM 211/500 | recon MSE 119.1615 | rel_change 6.042e-03
EM 221/500 | recon MSE 117.1774 | rel_change 5.410e-03
EM 231/500 | recon MSE 115.3318 | rel_change 6.052e-03
EM 241/500 | recon MSE 113.5447 | rel_change 4.918e-03
EM 251/500 | recon MSE 111.8158 | rel_change 4.583e-03
EM 261/500 | recon MSE 110.2228 | rel_change 4.313e-03
EM 271/500 | recon MSE 108.7184 | rel_change 6.224e-03
EM 281/500 | recon MSE 107.3085 | rel_change 3.959e-03
EM 291/500 | recon MSE 106.0160 | rel_change 3.848e-03
EM 301/500 | recon MSE 104.7958 | rel_change 3.496e-03
EM 311/500 | recon MSE 103.6025 | rel_change 3.716e-03
EM 321/500 | recon MSE 102.4703 | rel_change 3.636e-03
EM 331/500 | recon MSE 101.3907 | rel_change 3.766e-03
EM 341/500 | recon MSE 100.3919 | rel_change 3.974e-03
EM 351/500 | recon MSE  99.4632 | rel_change 3.276e-03
EM 361/500 | recon MSE  98.5391 | rel_change 3.532e-03
EM 371/500 | recon MSE  97.6695 | rel_change 2.938e-03
EM 381/500 | recon MSE  96.8205 | rel_change 3.301e-03
EM 391/500 | recon MSE  95.9971 | rel_change 2.912e-03
EM 401/500 | recon MSE  95.2209 | rel_change 2.734e-03
EM 411/500 | recon MSE  94.4841 | rel_change 2.808e-03
EM 421/500 | recon MSE  93.7893 | rel_change 2.451e-03
EM 431/500 | recon MSE  93.0938 | rel_change 2.492e-03
EM 441/500 | recon MSE  92.3891 | rel_change 2.580e-03
EM 451/500 | recon MSE  91.7092 | rel_change 2.634e-03
EM 461/500 | recon MSE  91.0868 | rel_change 2.389e-03
EM 471/500 | recon MSE  90.5034 | rel_change 2.375e-03
EM 481/500 | recon MSE  89.9318 | rel_change 2.187e-03
EM 491/500 | recon MSE  89.3812 | rel_change 2.055e-03
Learned dictionary: 128 atoms, sigma2 = 225.0
Per-patch atoms for 99% energy -- mean 12.3, median 12, max 24
Training time: 4510.2 s (75.2 min)
Saved DL-SBL artifacts to ../Data/*_sbl_15.npy
=== DL-SBL  sigma=25 ===
EM   1/500 | recon MSE 1085.1646 | rel_change 7.238e-01
EM  11/500 | recon MSE 927.7161 | rel_change 4.587e-01
EM  21/500 | recon MSE 816.3984 | rel_change 1.486e-01
EM  31/500 | recon MSE 756.2449 | rel_change 9.642e-02
EM  41/500 | recon MSE 716.9138 | rel_change 6.596e-02
EM  51/500 | recon MSE 689.0669 | rel_change 4.993e-02
EM  61/500 | recon MSE 665.5389 | rel_change 4.833e-02
EM  71/500 | recon MSE 644.5433 | rel_change 3.730e-02
EM  81/500 | recon MSE 626.1066 | rel_change 2.844e-02
EM  91/500 | recon MSE 609.7417 | rel_change 2.786e-02
EM 101/500 | recon MSE 593.3896 | rel_change 2.497e-02
EM 111/500 | recon MSE 578.5594 | rel_change 2.527e-02
EM 121/500 | recon MSE 563.8977 | rel_change 2.249e-02
EM 131/500 | recon MSE 550.6530 | rel_change 1.992e-02
EM 141/500 | recon MSE 537.9461 | rel_change 1.993e-02
EM 151/500 | recon MSE 526.5192 | rel_change 1.687e-02
EM 161/500 | recon MSE 515.7452 | rel_change 1.548e-02
EM 171/500 | recon MSE 505.8869 | rel_change 1.473e-02
EM 181/500 | recon MSE 496.1408 | rel_change 1.425e-02
EM 191/500 | recon MSE 486.5246 | rel_change 1.306e-02
EM 201/500 | recon MSE 477.6110 | rel_change 1.209e-02
EM 211/500 | recon MSE 469.2616 | rel_change 1.153e-02
EM 221/500 | recon MSE 461.0607 | rel_change 1.179e-02
EM 231/500 | recon MSE 453.6892 | rel_change 1.169e-02
EM 241/500 | recon MSE 446.5767 | rel_change 1.057e-02
EM 251/500 | recon MSE 439.5966 | rel_change 9.814e-03
EM 261/500 | recon MSE 433.0497 | rel_change 9.594e-03
EM 271/500 | recon MSE 426.5772 | rel_change 9.165e-03
EM 281/500 | recon MSE 420.5311 | rel_change 9.044e-03
EM 291/500 | recon MSE 414.6393 | rel_change 8.110e-03
EM 301/500 | recon MSE 409.3180 | rel_change 8.015e-03
EM 311/500 | recon MSE 403.9093 | rel_change 7.888e-03
EM 321/500 | recon MSE 398.8298 | rel_change 7.397e-03
EM 331/500 | recon MSE 393.9739 | rel_change 6.872e-03
EM 341/500 | recon MSE 389.0481 | rel_change 7.482e-03
EM 351/500 | recon MSE 384.4517 | rel_change 6.960e-03
EM 361/500 | recon MSE 379.7449 | rel_change 6.926e-03
EM 371/500 | recon MSE 375.1489 | rel_change 7.284e-03
EM 381/500 | recon MSE 370.9001 | rel_change 6.210e-03
EM 391/500 | recon MSE 366.9016 | rel_change 6.124e-03
EM 401/500 | recon MSE 362.9796 | rel_change 5.808e-03
EM 411/500 | recon MSE 359.1161 | rel_change 5.693e-03
EM 421/500 | recon MSE 355.2941 | rel_change 5.854e-03
EM 431/500 | recon MSE 351.5830 | rel_change 5.895e-03
EM 441/500 | recon MSE 348.0657 | rel_change 5.938e-03
EM 451/500 | recon MSE 344.6931 | rel_change 5.138e-03
EM 461/500 | recon MSE 341.4776 | rel_change 5.117e-03
EM 471/500 | recon MSE 338.2911 | rel_change 4.773e-03
EM 481/500 | recon MSE 335.1777 | rel_change 4.751e-03
EM 491/500 | recon MSE 332.0000 | rel_change 4.776e-03
Learned dictionary: 128 atoms, sigma2 = 625.0
Per-patch atoms for 99% energy -- mean 8.0, median 8, max 19
Training time: 4723.2 s (78.7 min)
Saved DL-SBL artifacts to ../Data/*_sbl_25.npy
